last_name,first_name,year,xba,xslg,xwoba,xobp,xiso,wobacon,xwobacon,bacon,xbacon,xbadiff,xslgdiff,wobadif,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_swing_miss,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,pop_2b_sba_count,pop_2b_sba,pop_2b_sb,pop_2b_cs,pop_3b_sba_count,pop_3b_sba,pop_3b_sb,pop_3b_cs,exchange_2b_3b_sba,maxeff_arm_2b_3b_sba,n_outs_above_average,rel_league_reaction_distance,rel_league_burst_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n_bolts,hp_to_1b,sprint_speed,name,WAR
Pujols,Albert,2016,0.285,0.53,0.372,0.342,0.24,0.347,0.398,0.303,0.326,-0.017,-0.073,-0.041,91.5,12,32.4,50,9.5,7.8,23.5,23.7,35.1,0.4,44.3,62.5,9.7,30.6,26.9,73.1,108,402,52.2,1314,66.3,6.5,90.3,73,15.7,45.8,45.2,26,22.5,6.3,,,,,,,,,,,,,,,,,0,,22.6,Albert Pujols,-2
Odor,Rougned,2016,0.262,0.463,0.323,0.29,0.198,0.414,0.397,0.346,0.338,0.009,0.039,0.013,88.3,13.1,31.6,37,7.8,8.4,21.7,26.2,30.8,5.1,37.6,68.8,13.5,41.2,39.3,60.7,185,471,52.5,1143,74.1,6.2,86.5,96,23.8,54.3,42.2,26.6,23.4,7.8,,,,,,,,,,,,,,,,,3,,27.7,Rougned Odor,-1.4
Trumbo,Mark,2016,0.275,0.555,0.376,0.334,0.279,0.456,0.482,0.354,0.38,-0.019,-0.022,-0.018,92.7,14.7,32.5,70,15.8,5.6,21.4,24.2,31.8,1.1,44.9,69.3,20.3,31.2,47.4,52.6,204,430,52.5,1377,79.6,7.5,79.7,175,29.3,49.3,40.6,27.8,22.1,9.5,,,,,,,,,,,-15,-2.9,-3.3,0.8,-5.5,27.2,1,,27,Mark Trumbo,-1.3
Wieters,Matt,2016,0.261,0.445,0.331,0.319,0.181,0.342,0.375,0.302,0.324,-0.018,-0.036,-0.024,87.6,15.8,35.4,26,7.6,5.8,26,28.9,27.5,4.1,32.7,70.7,18,33.8,33.7,66.3,103,306,53.8,906,76.9,6.2,82,99,23.6,50.8,38.9,25.1,26.9,9.1,41,1.99,1.99,1.99,1,1.7,1.7,,0.71,81.4,,,,,,,1,,25,Matt Wieters,-1.2
Beltran,Carlos,2016,0.27,0.435,0.325,0.315,0.162,0.413,0.37,0.358,0.329,0.025,0.078,0.033,90,12.7,33.2,31,6.8,4,26.2,27.5,34.3,1.3,38.5,66.1,12.9,28.5,32.6,67.4,111,340,54.5,1193,73.5,6.9,87.1,85,19.6,45.6,42.4,22.2,26.6,8.8,,,,,,,,,,,-2,-1.7,-1.8,0.6,-2.9,30.1,0,,25.7,Carlos Beltran,-1.1
Martinez,Victor,2016,0.286,0.507,0.365,0.35,0.217,0.385,0.403,0.343,0.342,0.003,-0.031,-0.014,90,15.7,37.8,39,8.4,7.9,28.5,26,27,2.1,41.8,65.3,11.7,30.4,27.2,72.8,104,382,54.3,1256,70.7,6.5,88.3,81,17.2,46.4,38.8,27,26.4,7.7,,,,,,,,,,,,,,,,,0,,22.6,Victor Martinez,-1.1
Plouffe,Trevor,2016,0.262,0.435,0.331,0.31,0.17,0.351,0.377,0.317,0.326,-0.002,-0.015,-0.02,89.6,12.3,29.7,17,6.5,4.9,26.6,26.2,33.5,2.3,39.9,63.9,14.7,25,34.4,65.6,54,157,48.2,627,76.5,8.8,85.3,63,19.9,45.2,44.1,22.4,23.2,10.3,,,,,,,,,,,,,,,,,0,,26.2,Trevor Plouffe,-1.1
Kim,Hyun Soo,2016,0.284,0.437,0.359,0.368,0.147,0.369,0.378,0.361,0.342,0.018,-0.017,-0.007,90.1,6,30.6,13,5.1,4.7,28.2,18.4,42.4,1.2,35.7,59.2,11.7,20.5,26,74,38,146,51.1,711,77.3,7,88.3,47,15.5,39.4,52.9,17.6,25.5,3.9,,,,,,,,,,,-3,-0.9,-1.6,0.1,-2.4,30.9,0,,26.4,Hyun Soo Kim,-1.1
Gonzalez,Adrian,2016,0.273,0.424,0.331,0.34,0.147,0.381,0.376,0.354,0.342,0.012,0.011,0.003,88,9.4,39.4,21,4.6,7,30.6,20.1,34.1,3.5,33.7,71.3,15.9,30,36,64,146,405,56.5,1352,77.2,6.6,84.1,118,23,48,48.4,18.2,30.4,3.1,,,,,,,,,,,,,,,,,2,,24.1,Adrian Gonzalez,-1
Espinosa,Danny,2016,0.21,0.379,0.296,0.307,0.167,0.369,0.372,0.312,0.314,-0.001,-0.001,-0.002,86.4,12,28,32,9.1,4.8,19.5,28.9,28.3,9.3,33.7,68,22.7,31.5,51.4,48.6,208,405,55.6,1285,75.5,6.2,77.3,158,33.2,47.6,43.1,24.4,24.4,8.2,,,,,,,,,,,,,,,,,1,,27.7,Danny Espinosa,-1
Joseph,Tommy,2016,0.258,0.488,0.346,0.313,0.229,0.408,0.414,0.329,0.336,-0.001,0.017,-0.004,89.9,16.7,33.3,29,11.8,4.5,24,28,28.5,3.3,41.9,70.4,16,33.8,35.8,64.2,86,240,53.8,711,81.3,6.9,84,69,23.1,50.7,37.4,23.6,28.5,10.6,,,,,,,,,,,,,,,,,0,,25.3,Tommy Joseph,-1
Saladino,Tyler,2016,0.258,0.36,0.287,0.294,0.099,0.368,0.334,0.351,0.323,0.024,0.049,0.026,85.9,7.9,32.4,7,2.9,5,24.9,20.7,43.6,2.9,27,66.4,10.4,27.7,33.5,66.5,54,161,47.1,582,77.7,9.1,89.6,45,16.6,48.1,51,17,24.9,7.1,,,,,,,,,,,,,,,,,3,,28.5,Tyler Saladino,-1
Hardy,J.J.,2016,0.259,0.388,0.305,0.304,0.127,0.34,0.338,0.318,0.312,0.01,0.019,0.002,89.9,12.1,29.4,13,3.8,5.8,24.7,26.7,37.2,1.7,39,47.4,8.6,23.2,30.9,69.1,59,191,45.7,823,55.2,8.1,91.4,40,15.1,36.3,46.5,20.9,23.5,9,,,,,,,,,,,,,,,,,0,,26.1,J.J. Hardy,-0.8
Napoli,Mike,2016,0.221,0.47,0.342,0.321,0.246,0.446,0.445,0.361,0.337,0.018,-0.005,0.001,89.6,18.6,33.4,49,13.3,7.1,19,29.6,26.9,4.1,38.3,63.6,25.3,24.6,43.5,56.5,160,368,50.7,1494,77.9,8,74.7,234,30.5,43.8,36.7,26.4,24.5,12.5,,,,,,,,,,,,,,,,,0,,24.8,Mike Napoli,-0.8
Desmond,Ian,2016,0.268,0.431,0.327,0.321,0.161,0.414,0.401,0.38,0.359,0.017,0.015,0.009,90.5,4.7,28.8,35,7.5,4.9,24.6,16.7,44.2,2.1,43.2,62.1,19.1,29,47.5,52.5,168,354,47.5,1222,65,7.8,80.9,160,27.5,46.3,53.6,17.7,23.3,5.3,,,,,,,,,,,3,-1.2,0.7,0.7,0.2,34.2,19,,28.6,Ian Desmond,-0.8
Saunders,Michael,2016,0.239,0.42,0.325,0.326,0.18,0.446,0.408,0.369,0.351,0.014,0.058,0.023,89.6,10.7,34.1,28,8.3,9.5,22.6,23.7,32.3,3.6,44.5,68.3,19.6,23,55.1,44.9,158,287,52.5,1250,83.1,7.2,80.4,152,29.2,44.5,41.5,24.6,28.2,5.6,,,,,,,,,,,-3,-0.9,-0.9,-0.4,-2.3,31.1,0,,26.9,Michael Saunders,-0.8
Carter,Chris,2016,0.236,0.532,0.368,0.335,0.294,0.465,0.505,0.346,0.369,-0.014,-0.033,-0.022,91.7,18.5,36.8,62,17.6,9.9,17,28.3,24.9,2.3,45.9,66.5,29,24.7,59.7,40.3,221,370,54.6,1498,81.3,6.4,71,240,38.4,43.7,31.7,31.2,29.2,7.9,,,,,,,,,,,,,,,,,1,,26.6,Chris Carter,-0.7
Morales,Kendrys,2016,0.289,0.556,0.391,0.354,0.263,0.388,0.46,0.332,0.37,-0.026,-0.088,-0.052,92.7,11.4,35,48,10.8,8.6,28.4,18.7,31.6,1.8,49.9,66.8,15.7,33.1,37.3,62.7,170,456,55.8,1378,70.8,6.2,84.3,114,24,48,44.7,24.8,25.7,4.7,,,,,,,,,,,,,,,,,0,,24.3,Kendrys Morales,-0.6
Kemp,Matt,2016,0.265,0.518,0.347,0.304,0.25,0.419,0.437,0.349,0.35,0.003,-0.019,-0.014,88.2,14.4,37.4,53,11.1,7.5,24.4,25.1,29.6,2.3,37.8,73.5,20.5,38.2,44.8,55.2,220,491,52.8,1284,82.3,6.7,79.5,173,29.4,54.9,40.5,27.6,26.9,5,,,,,,,,,,,-24,-1.4,-2.8,-0.1,-4.3,28.6,0,,25.3,Matt Kemp,-0.6
Ramirez,Hanley,2016,0.274,0.479,0.357,0.351,0.202,0.422,0.408,0.363,0.348,0.012,0.026,0.01,90.4,9.1,30.5,45,10.4,7.2,21.2,20.6,37.6,3,41.6,66,14.8,29.5,41.5,58.5,159,383,53.7,1297,76,7.9,85.2,109,23.9,46.4,49.2,21.5,21.5,7.9,,,,,,,,,,,,,,,,,1,,26.8,Hanley Ramirez,-0.5
Barney,Darwin,2016,0.257,0.341,0.294,0.314,0.081,0.328,0.316,0.322,0.311,0.012,0.032,0.009,85.5,9.7,35.3,4,1.7,3,27.2,25.1,39.6,3.4,23.8,64.8,14,27.2,29.6,70.4,40,135,43.4,497,75.3,8.5,86,59,17.8,48.5,49.4,19.6,23,8.1,,,,,,,,,,,,,,,,,0,,27.4,Darwin Barney,-0.5
Moss,Brandon,2016,0.235,0.486,0.339,0.31,0.25,0.44,0.456,0.336,0.353,-0.01,-0.002,-0.01,87.9,21.7,37.2,37,13.4,9.7,19.9,33.6,19.5,4,38.6,73.1,23.6,32.1,57.5,42.5,184,320,54.6,997,84.6,6.4,76.4,143,35.3,50.7,30.3,32.5,26.4,10.8,,,,,,,,,,,-1,0,-1.9,-0.5,-2.3,31.3,1,,26.2,Brandon Moss,-0.5
Valencia,Danny,2016,0.284,0.47,0.352,0.344,0.183,0.409,0.424,0.377,0.375,0.003,-0.024,-0.01,90,9.9,35.2,28,7.8,7.8,26.8,20.4,35.2,2,40.8,60.3,15.8,29.4,51.3,48.7,159,310,52.3,1056,71.5,7.5,84.2,92,28.2,44.1,46.1,17.6,28.5,7.8,,,,,,,,,,,-3,0,-2.5,-0.5,-3.1,30.5,1,,27,Danny Valencia,-0.5
Rupp,Cameron,2016,0.243,0.445,0.319,0.295,0.2,0.414,0.412,0.355,0.343,0.009,0.002,0.002,91.3,9.2,29.7,26,9.4,6.2,24.3,21,36.6,2.5,46.4,67.6,24.4,28.6,44.1,55.9,101,229,50.5,800,79.3,7,75.6,129,30.3,47.9,48.9,22.1,23.9,5.1,38,1.98,1.98,1.98,2,1.65,1.65,,0.78,86.7,,,,,,,0,,25.3,Cameron Rupp,-0.5
Franco,Maikel,2016,0.264,0.436,0.325,0.316,0.169,0.35,0.367,0.309,0.322,-0.009,-0.009,-0.014,89.6,11.9,29.2,34,7.1,5.8,23.2,24.6,37.2,2.1,40.5,72.4,16.7,32.1,39.9,60.1,150,376,52.1,1170,87.9,7,83.3,130,24.2,51.4,45.3,19.2,25.3,10.2,,,,,,,,,,,,,,,,,0,,26,Maikel Franco,-0.5
Peterson,Jace,2016,0.269,0.389,0.334,0.363,0.115,0.326,0.352,0.313,0.333,-0.015,-0.023,-0.017,87.4,2.8,31.8,10,3.5,5.9,23.8,14.3,48.6,3.8,32.2,59.3,10.4,22.1,37.4,62.6,67,179,50.4,810,72.4,7.2,89.6,49,17.8,40.6,58,17.1,23.1,1.7,,,,,,,,,,,2,0.8,-0.5,-0.1,0.2,34.2,23,,28.8,Jace Peterson,-0.5
Bautista,Jose,2016,0.258,0.45,0.37,0.388,0.19,0.375,0.4,0.306,0.341,-0.024,0.002,-0.015,91.6,14.8,31.2,29,9,8.3,24.4,27.8,27.8,2.8,45.7,56.4,13.5,18.8,42.4,57.6,92,217,52.6,1155,71.9,6.3,86.5,79,21.3,36.6,39.5,22.2,25,13.3,,,,,,,,,,,-4,-0.2,-2.4,0.5,-2.2,29.5,0,,25.3,Jose Bautista,-0.4
Villar,Jonathan,2016,0.262,0.396,0.331,0.35,0.132,0.442,0.401,0.401,0.37,0.023,0.061,0.025,88,2.9,29.5,28,6.6,5.7,23.3,14.6,42.2,7.5,38,65,20.8,21.8,45.9,54.1,145,316,51.3,1452,77.4,6.9,79.2,186,27.3,42.8,57.8,13.4,25,3.8,,,,,,,,,,,,,,,,,2,,28,Jonathan Villar,-0.4
Werth,Jayson,2016,0.252,0.426,0.341,0.345,0.171,0.374,0.394,0.327,0.342,-0.008,-0.009,-0.014,91.3,14.9,32.7,30,7.7,6.4,23.7,28.8,32.1,1.3,44.4,52.7,16.4,22.5,32.1,67.9,97,302,48.3,1344,66.8,8,83.6,125,20.9,38.1,41.3,26.5,25.3,6.9,,,,,,,,,,,-5,-0.5,-1.3,0.7,-1.2,32.2,0,,25.8,Jayson Werth,-0.3
Rosales,Adam,2016,0.209,0.409,0.308,0.304,0.199,0.494,0.434,0.377,0.349,0.02,0.086,0.032,89.6,15.4,36.2,15,11.5,10.8,17.7,27.7,30.8,1.5,39.2,64.9,28.5,22.4,55.3,44.7,68,123,53,549,78.3,5.8,71.5,90,36,42.4,38.5,30.8,23.1,7.7,,,,,,,,,,,,,,,,,0,,28.1,Adam Rosales,-0.3
Peraza,Jose,2016,0.319,0.413,0.337,0.351,0.09,0.361,0.369,0.37,0.369,0.005,-0.002,-0.006,84.2,10.4,40.8,4,1.9,1.9,33.6,22.3,34.6,5.7,23.2,65.6,8,36,24.1,75.9,38,158,49.1,439,76,8.4,92,24,13.6,51.1,45.5,15.6,32.7,6.2,,,,,,,,,,,-2,0.7,-0.2,0.1,0.5,34,8,,28.8,Jose Peraza,-0.3
Mazara,Nomar,2016,0.261,0.425,0.326,0.32,0.161,0.365,0.375,0.333,0.333,0.005,-0.006,-0.008,88,8.4,32.6,28,6.8,5.4,23.6,20.4,39.9,3.9,34.8,61.2,12.2,31.6,32.8,67.2,131,399,56,1264,67.6,6,87.8,74,20.4,44.6,49.6,20.4,23.6,6.3,,,,,,,,,,,-2,0.2,-0.1,0.1,0.2,33.7,0,,26.9,Nomar Mazara,-0.3
